Date(Y.YYY),Rain(mm)
1968.764,0
1968.766,7.6
1968.769,10.2
1968.772,5.1
1968.775,0
1968.777,10.2
1968.78,0
1968.783,0
1968.786,0
1968.788,0
1968.791,0
1968.794,0
1968.796,2.5
1968.799,0
1968.802,0
1968.805,0
1968.807,0
1968.81,0
1968.813,2.5
1968.816,0
1968.818,0
1968.821,2.5
1968.824,10.2
1968.827,0
1968.829,5.1
1968.832,2.5
1968.835,12.7
1968.837,0
1968.84,0
1968.843,0
1968.846,0
1968.848,0
1968.851,2.5
1968.854,0
1968.857,0
1968.859,2.5
1968.862,0
1968.865,0
1968.867,0
1968.87,0
1968.873,0
1968.876,0
1968.878,0
1968.881,0
1968.884,0
1968.887,0
1968.889,0
1968.892,0
1968.895,2.5
1968.898,0
1968.9,5.1
1968.903,5.1
1968.906,0
1968.908,0
1968.911,12.7
1968.914,2.5
1968.917,0
1968.919,0
1968.922,0
1968.925,0
1968.928,0
1968.93,0
1968.933,0
1968.936,0
1968.939,0
1968.941,0
1968.944,0
1968.947,0
1968.949,0
1968.952,0
1968.955,15.2
1968.958,2.5
1968.96,15.2
1968.963,0
1968.966,2.5
1968.969,12.7
1968.971,10.2
1968.974,0
1968.977,0
1968.98,17.8
1968.982,0
1968.985,0
1968.988,0
1968.99,0
1968.993,2.5
1968.996,0
1969.001,0
1969.004,2.8
1969.007,1
1969.01,0
1969.012,1.3
1969.015,4.6
1969.018,6.1
1969.021,0.5
1969.023,0
1969.026,4.6
1969.029,1
1969.032,9.4
1969.034,5.1
1969.037,4.3
1969.04,4.6
1969.042,1.3
1969.045,8.4
1969.048,0
1969.051,2.5
1969.053,3.8
1969.056,0.5
1969.059,1.3
1969.062,0.3
1969.064,0
1969.067,0
1969.07,1
1969.073,5.8
1969.075,3
1969.078,0
1969.081,0
1969.084,0
1969.086,2
1969.089,0
1969.092,0
1969.095,0
1969.097,0
1969.1,2
1969.103,0.3
1969.105,0
1969.108,0
1969.111,6.9
1969.114,4.3
1969.116,0.3
1969.119,0
1969.122,0
1969.125,0
1969.127,0
1969.13,0
1969.133,0
1969.136,16.8
1969.138,5.6
1969.141,0.3
1969.144,0.8
1969.147,0.8
1969.149,0.3
1969.152,0
1969.155,0
1969.158,1
1969.16,2.5
1969.163,0
1969.166,0
1969.168,0
1969.171,0
1969.174,0
1969.177,0
1969.179,0
1969.182,0
1969.185,0
1969.188,13
1969.19,9.4
1969.193,13
1969.196,3
1969.199,0.5
1969.201,0
1969.204,1.3
1969.207,4.1
1969.21,7.6
1969.212,0.5
1969.215,0
1969.218,0
1969.221,0
1969.223,0
1969.226,0
1969.229,0
1969.232,0
1969.234,0
1969.237,0
1969.24,1.5
1969.242,2.3
1969.245,0.3
1969.248,0
1969.251,0
1969.253,0
1969.256,0
1969.259,0
1969.262,0
1969.264,0
1969.267,0
1969.27,0
1969.273,0
1969.275,1
1969.278,0.3
1969.281,0.3
1969.284,0.8
1969.286,0
1969.289,0
1969.292,0
1969.295,0
1969.297,0
1969.3,1.3
1969.303,4.3
1969.305,3.3
1969.308,5.1
1969.311,0
1969.314,0.5
1969.316,0
1969.319,0.5
1969.322,0
1969.325,0
1969.327,0
1969.33,0
1969.333,1
1969.336,0
1969.338,0
1969.341,2.5
1969.344,0
1969.347,1
1969.349,0
1969.352,11.7
1969.355,1.3
1969.358,0
1969.36,2.5
1969.363,0
1969.366,1.5
1969.368,2.5
1969.371,0.8
1969.374,5.8
1969.377,1
1969.379,2.3
1969.382,2.8
1969.385,0
1969.388,0
1969.39,0
1969.393,19.8
1969.396,8.6
1969.399,2.5
1969.401,9.9
1969.404,0
1969.407,1.5
1969.41,0.5
1969.412,0.3
1969.415,2.5
1969.418,2.5
1969.421,0
1969.423,0
1969.426,0
1969.429,0
1969.432,0
1969.434,0
1969.437,0
1969.44,0
1969.442,0
1969.445,0
1969.448,0
1969.451,0
1969.453,0
1969.456,2.5
1969.459,2.5
1969.462,2.5
1969.464,2.5
1969.467,0
1969.47,2.5
1969.473,7.6
1969.475,2.5
1969.478,0
1969.481,0
1969.484,0
1969.486,0
1969.489,0
1969.492,0
1969.495,0
1969.497,0
1969.5,0
1969.503,0
1969.505,0
1969.508,0
1969.511,20.3
1969.514,2.5
1969.516,0
1969.519,0
1969.522,0
1969.525,0
1969.527,0
1969.53,0
1969.533,0
1969.536,0
1969.538,0
1969.541,0
1969.544,0
1969.547,0
1969.549,0
1969.552,0
1969.555,0
1969.558,0
1969.56,0
1969.563,0
1969.566,0
1969.568,2.5
1969.571,15.2
1969.574,5.1
1969.577,0
1969.579,0
1969.582,0.3
1969.585,27.9
1969.588,0.8
1969.59,0
1969.593,0
1969.596,0
1969.599,0
1969.601,4.3
1969.604,13
1969.607,0
1969.61,1.3
1969.612,4.1
1969.615,0
1969.618,8.6
1969.621,0.8
1969.623,0
1969.626,0
1969.629,1.5
1969.632,1.8
1969.634,0
1969.637,2.3
1969.64,3
1969.642,0.3
1969.645,2
1969.648,0
1969.651,1
1969.653,0
1969.656,0
1969.659,0
1969.662,0
1969.664,0
1969.667,0
1969.67,0
1969.673,0
1969.675,0
1969.678,0
1969.681,0
1969.684,0
1969.686,0
1969.689,0
1969.692,1
1969.695,4.1
1969.697,0.3
1969.7,0.3
1969.703,4.6
1969.705,1.3
1969.708,1.3
1969.711,0
1969.714,0
1969.716,0
1969.719,0
1969.722,1.3
1969.725,0
1969.727,0
1969.73,0
1969.733,0
1969.736,0
1969.738,0
1969.741,0.5
1969.744,0
1969.747,0
1969.749,0
1969.752,0
1969.755,0
1969.758,0
1969.76,0
1969.763,0
1969.766,0
1969.768,0
1969.771,0
1969.774,0
1969.777,0
1969.779,0
1969.782,0
1969.785,0
1969.788,0
1969.79,0
1969.793,0
1969.796,2.5
1969.799,0
1969.801,0
1969.804,0
1969.807,0
1969.81,0
1969.812,0
1969.815,0
1969.818,0
1969.821,0
1969.823,0
1969.826,0
1969.829,0
1969.832,0
1969.834,0
1969.837,0
1969.84,5.1
1969.842,0
1969.845,0
1969.848,5.1
1969.851,0
1969.853,2.5
1969.856,2.5
1969.859,2.5
1969.862,7.6
1969.864,7.6
1969.867,0
1969.87,20.3
1969.873,0
1969.875,5.1
1969.878,0
1969.881,0
1969.884,0
1969.886,0
1969.889,7.6
1969.892,0
1969.895,0
1969.897,0
1969.9,0
1969.903,0
1969.905,0
1969.908,0
1969.911,0
1969.914,0
1969.916,0
1969.919,5.1
1969.922,0
1969.925,0
1969.927,2.5
1969.93,0
1969.933,2.5
1969.936,0
1969.938,0
1969.941,0
1969.944,7.6
1969.947,0
1969.949,0
1969.952,7.6
1969.955,0
1969.958,0
1969.96,0
1969.963,0
1969.966,2.5
1969.968,2.5
1969.971,7.6
1969.974,0
1969.977,0
1969.979,7.6
1969.982,0
1969.985,0
1969.988,0
1969.99,0
1969.993,0
1969.996,0
1969.999,0.3
1970.001,0.3
1970.004,0.5
1970.007,0
1970.01,0
1970.012,1.8
1970.015,0
1970.018,0
1970.021,5.8
1970.023,8.9
1970.026,8.6
1970.029,3.6
1970.032,0.5
1970.034,7.6
1970.037,2.3
1970.04,0.5
1970.042,0.3
1970.045,1
1970.048,2
1970.051,1.3
1970.053,1.3
1970.056,4.6
1970.059,6.9
1970.062,13
1970.064,1.8
1970.067,3.8
1970.07,0.5
1970.073,0.3
1970.075,1.5
1970.078,11.9
1970.081,1
1970.084,0
1970.086,2.8
1970.089,2.5
1970.092,2.3
1970.095,1
1970.097,0
1970.1,1.3
1970.103,1.5
1970.105,2
1970.108,0
1970.111,0.5
1970.114,8.4
1970.116,5.8
1970.119,0
1970.122,0
1970.125,0
1970.127,3.3
1970.13,0.3
1970.133,4.8
1970.136,3.3
1970.138,4.1
1970.141,1.5
1970.144,1.5
1970.147,0
1970.149,0
1970.152,0
1970.155,0.8
1970.158,0
1970.16,0
1970.163,0.3
1970.166,0
1970.168,8.6
1970.171,1.5
1970.174,0
1970.177,0
1970.179,0
1970.182,0
1970.185,0
1970.188,3.8
1970.19,6.3
1970.193,0.3
1970.196,0.5
1970.199,0
1970.201,0
1970.204,0
1970.207,1
1970.21,1
1970.212,0
1970.215,0
1970.218,0.3
1970.221,3.8
1970.223,13
1970.226,0.3
1970.229,0
1970.232,0
1970.234,0
1970.237,6.6
1970.24,0.5
1970.242,0.5
1970.245,0.8
1970.248,0.3
1970.251,0
1970.253,0.8
1970.256,2.8
1970.259,7.4
1970.262,0.5
1970.264,0.5
1970.267,0
1970.27,3.3
1970.273,0.3
1970.275,4.6
1970.278,6.6
1970.281,0
1970.284,0.8
1970.286,0.3
1970.289,0.3
1970.292,1.8
1970.295,4.6
1970.297,0
1970.3,3
1970.303,1.8
1970.305,1
1970.308,0.3
1970.311,1.3
1970.314,4.8
1970.316,0.5
1970.319,0.3
1970.322,1.8
1970.325,0
1970.327,0.3
1970.33,0
1970.333,0
1970.336,0
1970.338,0
1970.341,0
1970.344,2.8
1970.347,0
1970.349,4.3
1970.352,6.6
1970.355,3.3
1970.358,4.6
1970.36,0.3
1970.363,0
1970.366,0.3
1970.368,0.3
1970.371,0
1970.374,0
1970.377,0
1970.379,0
1970.382,0
1970.385,0.3
1970.388,0
1970.39,0
1970.393,0
1970.396,0
1970.399,0
1970.401,0
1970.404,0
1970.407,0
1970.41,0
1970.412,0
1970.415,0
1970.418,0
1970.421,0
1970.423,0
1970.426,0
1970.429,0
1970.432,0
1970.434,0
1970.437,0
1970.44,0
1970.442,60.5
1970.445,0
1970.448,0
1970.451,0
1970.453,0
1970.456,0
1970.459,2.5
1970.462,0
1970.464,0
1970.467,0
1970.47,0
1970.473,6.1
1970.475,7.1
1970.478,0
1970.481,0
1970.484,0
1970.486,0
1970.489,0.3
1970.492,0
1970.495,8.1
1970.497,0.3
1970.5,0
1970.503,0.5
1970.505,0
1970.508,0
1970.511,0
1970.514,13
1970.516,1.8
1970.519,0
1970.522,0.5
1970.525,0
1970.527,0
1970.53,9.9
1970.533,3.8
1970.536,0
1970.538,9999.99
1970.541,9999.99
1970.544,9999.99
1970.547,9999.99
1970.549,9999.99
1970.552,9999.99
1970.555,9999.99
1970.558,9999.99
1970.56,9999.99
1970.563,9999.99
1970.566,9999.99
1970.568,9999.99
1970.571,9999.99
1970.574,9999.99
1970.577,9999.99
1970.579,9999.99
1970.582,9999.99
1970.585,9999.99
1970.588,9999.99
1970.59,9999.99
1970.593,9999.99
1970.596,9999.99
1970.599,9999.99
1970.601,9999.99
1970.604,9999.99
1970.607,9999.99
1970.61,9999.99
1970.612,9999.99
1970.615,9999.99
1970.618,9999.99
1970.621,9999.99
1970.623,9999.99
1970.626,9999.99
1970.629,9999.99
1970.632,9999.99
1970.634,9999.99
1970.637,9999.99
1970.64,9999.99
1970.642,9999.99
1970.645,9999.99
1970.648,9999.99
1970.651,9999.99
1970.653,9999.99
1970.656,9999.99
1970.659,9999.99
1970.662,9999.99
1970.664,9999.99
1970.667,9999.99
1970.67,9999.99
1970.673,9999.99
1970.675,9999.99
1970.678,9999.99
1970.681,9999.99
1970.684,9999.99
1970.686,9999.99
1970.689,9999.99
1970.692,9999.99
1970.695,9999.99
1970.697,9999.99
1970.7,9999.99
1970.703,9999.99
1970.705,9999.99
1970.708,9999.99
1970.711,9999.99
1970.714,9999.99
1970.716,9999.99
1970.719,9999.99
1970.722,9999.99
1970.725,9999.99
1970.727,9999.99
1970.73,9999.99
1970.733,9999.99
1970.736,9999.99
1970.738,9999.99
1970.741,9999.99
1970.744,9999.99
1970.747,9999.99
1970.749,9999.99
1970.752,9999.99
1970.755,9999.99
1970.758,9999.99
1970.76,9999.99
1970.763,9999.99
1970.766,9999.99
1970.768,9999.99
1970.771,9999.99
1970.774,0
1970.777,0
1970.779,0
1970.782,0
1970.785,0
1970.788,0
1970.79,0
1970.793,0
1970.796,0
1970.799,7.6
1970.801,0
1970.804,0
1970.807,0
1970.81,0
1970.812,0
1970.815,25.4
1970.818,12.7
1970.821,38.1
1970.823,0
1970.826,0
1970.829,38.1
1970.832,0
1970.834,355.6
1970.837,342.9
1970.84,0
1970.842,7.6
1970.845,0
1970.848,594.4
1970.851,7.6
1970.853,12.7
1970.856,0
1970.859,33
1970.862,251.5
1970.864,0
1970.867,264.2
1970.87,515.6
1970.873,7.6
1970.875,83.8
1970.878,200.7
1970.881,348
1970.884,20.3
1970.886,45.7
1970.889,0
1970.892,309.9
1970.895,7.6
1970.897,0
1970.9,0
1970.903,0
1970.905,58.4
1970.908,309.9
1970.911,355.6
1970.914,7.6
1970.916,0
1970.919,12.7
1970.922,226.1
1970.925,7.6
1970.927,58.4
1970.93,7.6
1970.933,0
1970.936,0
1970.938,0
1970.941,0
1970.944,0
1970.947,12.7
1970.949,0
1970.952,0
1970.955,0
1970.958,0
1970.96,515.6
1970.963,0
1970.966,0
1970.968,7.6
1970.971,0
1970.974,0
1970.977,33
1970.979,20.3
1970.982,20.3
1970.985,71.1
1970.988,7.6
1970.99,121.9
1970.993,167.6
1970.996,0
1970.999,0
1971.001,0
1971.004,0
1971.007,0
1971.01,0
1971.012,0
1971.015,1.3
1971.018,2
1971.021,0.1
1971.023,0
1971.026,0
1971.029,0
1971.032,0
1971.034,0
1971.037,2
1971.04,0
1971.042,6.7
1971.045,0.8
1971.048,3.9
1971.051,6.5
1971.053,10
1971.056,7.2
1971.059,5.3
1971.062,10.5
1971.064,3.8
1971.067,9.4
1971.07,11.2
1971.073,0.2
1971.075,0
1971.078,2.3
1971.081,5.9
1971.084,2.3
1971.086,0.1
1971.089,0
1971.092,0
1971.095,0
1971.097,0
1971.1,0
1971.103,0
1971.105,0
1971.108,0
1971.111,0
1971.114,0
1971.116,2.3
1971.119,0
1971.122,7.4
1971.125,0
1971.127,1.6
1971.13,3.2
1971.133,0.2
1971.136,1.8
1971.138,0.3
1971.141,0.3
1971.144,0
1971.147,0
1971.149,0
1971.152,0
1971.155,0
1971.158,0
1971.16,0
1971.163,7.5
1971.166,0
1971.168,0
1971.171,0
1971.174,0
1971.177,0
1971.179,1.5
1971.182,0.4
1971.185,0
1971.188,0
1971.19,0
1971.193,0
1971.196,0.3
1971.199,14.7
1971.201,0.6
1971.204,0.4
1971.207,15.1
1971.21,4
1971.212,6.2
1971.215,0.1
1971.218,1.1
1971.221,0
1971.223,0.1
1971.226,0.6
1971.229,0.2
1971.232,0
1971.234,0
1971.237,0.7
1971.24,0.7
1971.242,0
1971.245,0
1971.248,0
1971.251,0
1971.253,0
1971.256,0
1971.259,1.5
1971.262,0.1
1971.264,0
1971.267,9.5
1971.27,0.2
1971.273,0
1971.275,0
1971.278,0
1971.281,0
1971.284,0
1971.286,0
1971.289,1.5
1971.292,0
1971.295,0
1971.297,0
1971.3,0
1971.303,0
1971.305,5.8
1971.308,18
1971.311,0.8
1971.314,10.9
1971.316,5.3
1971.319,0
1971.322,0
1971.325,0
1971.327,0
1971.33,0
1971.333,0
1971.336,0
1971.338,0
1971.341,0
1971.344,5.4
1971.347,0.1
1971.349,0
1971.352,0
1971.355,0
1971.358,0
1971.36,0
1971.363,0
1971.366,0
1971.368,11.3
1971.371,0.8
1971.374,0
1971.377,0
1971.379,0
1971.382,0
1971.385,0
1971.388,1.4
1971.39,4.4
1971.393,14.5
1971.396,0.8
1971.399,0.9
1971.401,4
1971.404,2.1
1971.407,1.3
1971.41,0
1971.412,0
1971.415,0
1971.418,0
1971.421,0
1971.423,0
1971.426,0
1971.429,0
1971.432,0
1971.434,7
1971.437,4.2
1971.44,54.7
1971.442,0.3
1971.445,0
1971.448,7.1
1971.451,22.5
1971.453,0
1971.456,0.3
1971.459,0
1971.462,35.8
1971.464,8.3
1971.467,0
1971.47,0
1971.473,0
1971.475,0
1971.478,0
1971.481,0.9
1971.484,1.6
1971.486,10.1
1971.489,2.4
1971.492,0.1
1971.495,0
1971.497,0.3
1971.5,3.2
1971.503,0
1971.505,0
1971.508,0
1971.511,0
1971.514,0
1971.516,0
1971.519,0
1971.522,0
1971.525,0
1971.527,0
1971.53,0
1971.533,0
1971.536,0
1971.538,0
1971.541,0
1971.544,0
1971.547,0
1971.549,0.9
1971.552,0
1971.555,0.1
1971.558,1.5
1971.56,0.5
1971.563,0.7
1971.566,0
1971.568,4.5
1971.571,0.1
1971.574,0
1971.577,7.2
1971.579,0
1971.582,9999.9
1971.585,9999.9
1971.588,1
1971.59,2.1
1971.593,5.3
1971.596,1.5
1971.599,3.2
1971.601,0
1971.604,0
1971.607,1.5
1971.61,0.9
1971.612,0.2
1971.615,4.9
1971.618,9.8
1971.621,0
1971.623,0
1971.626,0
1971.629,0.4
1971.632,0.1
1971.634,18.4
1971.637,0.4
1971.64,0.5
1971.642,0
1971.645,0
1971.648,0
1971.651,0.9
1971.653,0
1971.656,0.3
1971.659,0.2
1971.662,4.5
1971.664,0
1971.667,0
1971.67,0
1971.673,0
1971.675,0
1971.678,0
1971.681,0
1971.684,0
1971.686,0
1971.689,0
1971.692,0
1971.695,0
1971.697,0
1971.7,0
1971.703,0
1971.705,0
1971.708,0
1971.711,0
1971.714,0
1971.716,0
1971.719,0
1971.722,0
1971.725,0
1971.727,0
1971.73,0.3
1971.733,3
1971.736,4.2
1971.738,0.9
1971.741,0.1
1971.744,0
1971.747,0
1971.749,0
1971.752,0
1971.755,0
1971.758,0
1971.76,0
1971.763,0
1971.766,0.1
1971.768,0.2
1971.771,0
1971.774,0
1971.777,3.1
1971.779,14.2
1971.782,11.5
1971.785,0
1971.788,5.9
1971.79,17.2
1971.793,0.9
1971.796,0.1
1971.799,1.3
1971.801,1.3
1971.804,0
1971.807,0
1971.81,0
1971.812,0
1971.815,0
1971.818,0
1971.821,0
1971.823,0
1971.826,0.9
1971.829,0
1971.832,0.2
1971.834,0
1971.837,0.1
1971.84,0
1971.842,0
1971.845,17.8
1971.848,0.1
1971.851,3
1971.853,0
1971.856,0
1971.859,0
1971.862,0
1971.864,0
1971.867,0.3
1971.87,0
1971.873,0
1971.875,0
1971.878,0
1971.881,4
1971.884,0
1971.886,12.4
1971.889,0.8
1971.892,3.6
1971.895,0.9
1971.897,0
1971.9,3.2
1971.903,1.1
1971.905,8.8
1971.908,0
1971.911,0.1
1971.914,0
1971.916,0
1971.919,1.5
1971.922,0
1971.925,0
1971.927,0
1971.93,0
1971.933,0
1971.936,0
1971.938,0
1971.941,0
1971.944,0
1971.947,0
1971.949,0
1971.952,0
1971.955,1
1971.958,0
1971.96,0
1971.963,0.8
1971.966,11.1
1971.968,0.1
1971.971,2.3
1971.974,7.1
1971.977,0
1971.979,0
1971.982,0.2
1971.985,0.1
1971.988,2.2
1971.99,0.2
1971.993,0
1971.996,0.1
1971.999,0
1972.001,1
1972.004,0.8
1972.007,0.4
1972.01,0
1972.012,0
1972.015,0.2
1972.018,3.7
1972.02,2.4
1972.023,0.2
1972.026,9.1
1972.029,6.1
1972.031,2.5
1972.034,5.4
1972.037,0
1972.04,1.3
1972.042,2.4
1972.045,1.2
1972.048,2.7
1972.051,0
1972.053,0
1972.056,0.3
1972.059,0.5
1972.061,4.5
1972.064,2.7
1972.067,2.5
1972.07,3.9
1972.072,3.2
1972.075,0
1972.078,0
1972.081,0
1972.083,0.4
1972.086,4.9
1972.089,5.1
1972.092,11.5
1972.094,0.3
1972.097,5
1972.1,3.5
1972.102,0.1
1972.105,0.8
1972.108,0
1972.111,2.5
1972.113,4.3
1972.116,0
1972.119,0
1972.122,0
1972.124,8.9
1972.127,5.7
1972.13,0.8
1972.133,4.8
1972.135,0
1972.138,0.3
1972.141,0.4
1972.143,0.8
1972.146,0
1972.149,0.2
1972.152,0.5
1972.154,0
1972.157,0
1972.16,0.3
1972.163,0.4
1972.165,0.3
1972.168,1.1
1972.171,6.3
1972.173,17.3
1972.176,0.7
1972.179,10.9
1972.182,4.1
1972.184,0.2
1972.187,4.7
1972.19,1.1
1972.193,1
1972.195,0
1972.198,0
1972.201,0.1
1972.204,0.1
1972.206,0
1972.209,0
1972.212,0
1972.214,0
1972.217,0
1972.22,0
1972.223,0
1972.225,0
1972.228,0
1972.231,2.1
1972.234,4.9
1972.236,2.9
1972.239,0
1972.242,0.2
1972.245,0
1972.247,3.6
1972.25,0
1972.253,0.2
1972.255,1.3
1972.258,3.9
1972.261,3
1972.264,1.6
1972.266,0.7
1972.269,0.2
1972.272,6.3
1972.275,3.6
1972.277,1.1
1972.28,1.1
1972.283,7.2
1972.286,0
1972.288,0
1972.291,0
1972.294,1.1
1972.296,0.3
1972.299,0
1972.302,0
1972.305,0
1972.307,0
1972.31,0
1972.313,0
1972.316,0
1972.318,0
1972.321,0
1972.324,5.4
1972.327,6.4
1972.329,0.3
1972.332,9.8
1972.335,2.5
1972.337,0.2
1972.34,0.4
1972.343,2.4
1972.346,0.4
1972.348,0
1972.351,5.6
1972.354,5.8
1972.357,0
1972.359,4.7
1972.362,5.6
1972.365,0.4
1972.367,0.7
1972.37,0.1
1972.373,0.3
1972.376,0.7
1972.378,2.8
1972.381,0
1972.384,0.6
1972.387,0.2
1972.389,0.3
1972.392,1.3
1972.395,0.4
1972.398,1
1972.4,3.7
1972.403,1.5
1972.406,0.3
1972.408,1.2
1972.411,0
1972.414,0.4
1972.417,0.6
1972.419,0.5
1972.422,2
1972.425,4.6
1972.428,0
1972.43,0.4
1972.433,1.3
1972.436,1.1
1972.439,8.9
1972.441,1
1972.444,0.7
1972.447,0.4
1972.449,0
1972.452,0
1972.455,0
1972.458,0
1972.46,0.3
1972.463,2.9
1972.466,0.3
1972.469,0
1972.471,0.3
1972.474,0
1972.477,0
1972.48,0
1972.482,0
1972.485,0
1972.488,5.5
1972.49,0
1972.493,0
1972.496,2
1972.499,0
1972.501,0.6
1972.504,0.2
1972.507,0
1972.51,0
1972.512,0.1
1972.515,5.2
1972.518,5.5
1972.52,0
1972.523,0
1972.526,0
1972.529,0
1972.531,0
1972.534,0
1972.537,0
1972.54,0
1972.542,0
1972.545,0
1972.548,0
1972.551,1.8
1972.553,2.8
1972.556,0.1
1972.559,0
1972.561,0
1972.564,0
1972.567,0
1972.57,0
1972.572,0
1972.575,0
1972.578,1.4
1972.581,8
1972.583,7.4
1972.586,0
1972.589,0
1972.592,0.4
1972.594,0
1972.597,19.1
1972.6,2.3
1972.602,3.1
1972.605,2.2
1972.608,0
1972.611,0
1972.613,0
1972.616,0.4
1972.619,0
1972.622,0
1972.624,0
1972.627,0
1972.63,0
1972.633,0
1972.635,0.1
1972.638,0
1972.641,0
1972.643,0
1972.646,0
1972.649,0
1972.652,0
1972.654,0
1972.657,0
1972.66,0
1972.663,0
1972.665,0
1972.668,0
1972.671,0
1972.673,0
1972.676,0
1972.679,0
1972.682,0
1972.684,0
1972.687,13.9
1972.69,0
1972.693,0
1972.695,0
1972.698,0.2
1972.701,2
1972.704,0
1972.706,0
1972.709,0.2
1972.712,0.7
1972.714,6
1972.717,0
1972.72,0
1972.723,0
1972.725,0
1972.728,0
1972.731,0
1972.734,0
1972.736,0
1972.739,0
1972.742,0
1972.745,0
1972.747,0
1972.75,0
1972.753,0
1972.755,0
1972.758,0
1972.761,0
1972.764,0
1972.766,0
1972.769,0
1972.772,10.2
1972.775,12.2
1972.777,0
1972.78,0
1972.783,0
1972.786,0
1972.788,0
1972.791,0
1972.794,0
1972.796,0
1972.799,0
1972.802,0
1972.805,0
1972.807,0
1972.81,0
1972.813,0
1972.816,0
1972.818,1.6
1972.821,2.4
1972.824,0
1972.827,0.8
1972.829,1.1
